Bug - ID Global,Equipo Reporta,Bug - ID Equipo,Titulo Story,Sprint detectado,Severidad,Prioridad,Titulo Bug,Descripción Bug,STR,Tipo de bug,Navegador utilizado,Evidencia adicional,Estado,Fecha de Descubrimiento,Fecha de corrección,Versión de Release,
BUG-038,QA-2,BUG-030,US-09: Recuperación de contraseña — Establecer nueva contraseña,4,Bajo,P3,Backend exige requisitos de contraseña más estrictos que los definidos en US-09,"La US-09 define los requisitos mínimos como: 'mínimo 8 caracteres, al menos una mayúscula, al menos un número'. El backend (regex en RegisterRequest.java según mensaje observado) y el frontend (AuthService.js línea 38) exigen adicionalmente: minúscula y carácter especial. Mensaje devuelto: 'La contraseña debe tener al menos 8 caracteres, una mayúscula, una minúscula, un número y un carácter especial'. Si bien es buena práctica de seguridad, constituye una divergencia con el requisito documentado y puede generar discusiones de scope. Decidir entre ajustar la US o documentar el incremento de seguridad.","1. POST /api/auth/register con password='PassWord1' (cumple US-09 pero falla regla actual).
2. Observar HTTP 400 con mensaje exigiendo carácter especial.",Improvement,N/A — test ejecutado vía curl + análisis estático de código,evidencia_v3/BUG-040.txt (pendiente de captura),Nuevo,2026-06-07,,v1.5,
BUG-039,QA-2,BUG-031,US-07: Recuperación de contraseña — Envío del código,4,Bajo,P3,Generador OTP no admite primer dígito 0 (reducción de entropía ~10%),"PasswordResetService.java línea 97-100: `RANDOM.nextInt(900000) + 100000`. Esto genera valores en el rango [100000, 999999], excluyendo deliberadamente los que comenzarían con 0 (p. ej. 042817). Aunque seis dígitos visuales se mantienen, la entropía efectiva pasa de 10^6 = 1.000.000 a 9·10^5 = 900.000 combinaciones, una reducción del 10% que facilita marginalmente ataques de fuerza bruta. Solución sugerida: usar `String.format(""%06d"", RANDOM.nextInt(1_000_000))` para mantener el rango completo.","1. Inspeccionar PasswordResetService.java líneas 97-100.
2. Confirmar que generateCode() jamás devuelve un código que comience con '0'.",Improvement,N/A — test ejecutado vía curl + análisis estático de código,evidencia_v3/BUG-041.txt (pendiente de captura),Nuevo,2026-06-07,,v1.5,
BUG-040,QA-2,BUG-032,Logout de Usuario,4,Bajo,P3,Token revocado tras logout responde 403 en vez de 401 Unauthorized,"El fix de BUG-003 introdujo TokenBlacklistService que efectivamente invalida el JWT al hacer logout. Sin embargo, al reusar el token revocado el backend responde HTTP 403 Forbidden en vez de 401 Unauthorized. Semánticamente HTTP 401 es el código adecuado cuando el token es inválido/revocado/expirado (autenticación fallida); 403 indica que el usuario está autenticado pero carece de permisos. El cliente puede confundir la causa: el frontend usaría 401 como trigger para limpiar el localStorage y redirigir a /login, pero al recibir 403 puede interpretarlo como 'el usuario no tiene rol para este recurso' y dejar al usuario con sesión rota sin redirect automático.","1. POST /api/auth/login-uade con credenciales válidas → obtener token.
2. POST /api/auth/logout con Authorization: Bearer <token> → 204.
3. GET /api/exams/my-exams con el mismo token → observar HTTP 403 (esperado 401).",Funcional,N/A — test ejecutado vía curl + análisis estático de código,evidencia_v3/BUG-042.txt (pendiente de captura),Nuevo,2026-06-07,,v1.5,
BUG-041,QA-2,BUG-033,US-01: Login del Docente con credenciales propias,4,Bajo,P3,"AuthService.isAuthenticated() solo verifica presencia del token, no validez ni expiración","El método isAuthenticated() en AuthService.js (líneas 101-103) implementa `return !!localStorage.getItem('authToken')`. No verifica integridad de la firma JWT, no comprueba el claim `exp`, y no llama al backend. Resultado: un usuario con token vencido o manipulado pasa el guard del router, navega al dashboard y solo descubre la sesión rota al hacer la primera request real (que responde 401). Esto puede causar pantallas con loaders infinitos y mala UX. Solución: decodificar el JWT con la utilidad decodeJwt ya importada y validar `exp > Date.now()/1000`.","1. Loguearse y copiar el authToken de localStorage.
2. Esperar 24h+ (o setear `exp` a un timestamp pasado modificando manualmente).
3. Recargar /docente/dashboard → la app no redirige a login y muestra spinner.",Funcional,N/A — análisis estático del código fuente (frontend),evidencia_v3/BUG-043.txt (pendiente de captura),Nuevo,2026-06-07,,v1.5,
BUG-042,QA-2,BUG-034,US-12: Visualización del Dashboard de Mis Cursos,4,Medio,P2,AuthService.getCurrentUser cae al rol del localStorage si el claim del JWT es inválido (escalada parcial residual),"El fix de BUG-020 hizo que getCurrentUser derive el rol del JWT decodificado en lugar del localStorage (AuthService.js línea 96-98). Sin embargo, el código incluye un fallback: `isValidRole(jwtRole) ? jwtRole : user.role`. Si un atacante manipula el JWT para que el claim `role` sea inválido (p. ej., 'ROLE_X' o nulo) Y simultáneamente cambia el rol del localStorage a 'DOCENTE', el frontend devuelve 'DOCENTE' aunque el JWT fue rechazado por el backend en cualquier endpoint protegido. El UI puede mostrar pantallas privilegiadas (no hay fuga de datos del backend, pero sí confusión visual). Recomendación: si jwtRole es inválido, tratarlo como sesión rota y forzar logout.","1. Loguearse como alumno.
2. En DevTools, editar localStorage.user → cambiar role a 'DOCENTE'.
3. Editar el authToken para que su claim role sea nulo o inválido.
4. Recargar → la UI de docente se renderiza brevemente antes de fallar.",Seguridad,N/A — análisis estático del código fuente (frontend),evidencia_v3/BUG-044.txt (pendiente de captura),Nuevo,2026-06-07,,v1.5,
BUG-043,QA-3,BUG-006,US-25: Visualización del Contador Regresivo y Guardado Automático (Entregas Parciales),4,Crítico,P1,El sistema no muestra el tiempo restante durante la realización del examen,"Durante la ejecución de un examen, el sistema no visualiza en pantalla el contador o tiempo restante disponible para completar la evaluación. Según los criterios de aceptación, el alumno debe poder visualizar en todo momento el tiempo restante del examen.","1. Iniciar sesión como alumno.
2. Acceder a un examen activo.
3. Comenzar a resolver el examen.
4. Observar la interfaz durante la realización.",funcional,Chrome,,Nuevo,2026-06-01,,Pendiente,V 1.4
BUG-044,QA-3,BUG-007,US-26: Sistema de Alertas por Vencimiento de Tiempo (Regla de Fronteras),4,Alto,P2,El sistema no muestra aviso al alcanzar los 30 minutos restantes del examen,"Durante la realización del examen, al llegar exactamente a los 30 minutos restantes, el sistema no muestra ninguna notificación o alerta al alumno. Según los criterios de aceptación, debe visualizarse un aviso informando que quedan 30 minutos para finalizar el examen.","1. Iniciar sesión como alumno.
2. Acceder a un examen con tiempo limitado.
3. Esperar hasta que resten exactamente 30 minutos.
4. Observar la pantalla del examen.",funcional,Chrome,,Nuevo,2026-06-01,,Pendiente,
BUG-045,QA-3,BUG-008,"US-27: Finalización y Envío del Examen (Manual vs. Automático)
",4,Crítico,P1,El sistema no bloquea la edición de respuestas al finalizar el tiempo del examen,No hay tiempo del examen,"1. Iniciar sesión como alumno.
2. Acceder a un examen con tiempo limitado.
3. Esperar hasta la finalización del tiempo asignado.
4. Intentar modificar una respuesta.",funcional,Chrome,,Nuevo,2026-06-01,,Pendiente,
BUG-046,QA-6,BUG-008,US-24 — Generacion de acceso por Tema,1,Crítico,P1,Generación de acceso por tema — Paso 3,"Al guardar los examentes con un solo tema o mas de uno, el sistema finaliza el alta, con posibilidad de publicar, pero NO se visualiza el link a copiar o qr ","
1. Loguarse como docente
2. Card ""Crear examen""""
3. Paso 1: Dar de alta preguntas y asignar el puntaje""
4.Continuar a Paso 2: asignacion de respuesta correcta para todas las preguntas dadas de alta.
5.Paso3: finalizar
",Funcional,Google Chrome 147.0.7727.102 ,,Nuevo,02/06/2026,,Version 1.4.0,
BUG-047,QA-6,BUG-009,US-24 - Generación de acceso por tema - Paso 3,1,Alto,P2,Wizard Paso 3 no permite configurar fecha y horarios del turno,"Al acceder al Paso 3 del wizard de creación de examen, el sistema no muestra campos para configurar fecha, horario de inicio y horario de cierre. Esto impide validar la duración máxima de 4 horas definida en la historia de usuario US-24.","1. Iniciar sesión como docente
2. Crear examen
3. Completar paso 1 y paso 2
4. Acceder al paso 3
5. Verificar que no existen campos para fecha, horario de inicio y horario de cierre.",Funcional,Safari 26.4 (21624.1.16.11.4),https://drive.google.com/file/d/1SGY1e4eEqvlBoihj-1hF0EVTPcKdkYDv/view?usp=sharing,Nuevo,02/06/2026,,Version 1.4.0,
BUG-048,QA-6,BUG-010,US-22 - Guardar examen como borrador,1,Medio,P2,"Botón ""Guardar borrador"" permite múltiples clics durante el guardado
","Al presionar ""Guardar borrador"", el sistema muestra la notificación de éxito pero no deshabilita temporalmente el botón durante el proceso de guardado. El usuario puede realizar múltiples clics consecutivos, incumpliendo el criterio de prevención de doble envío definido para la experiencia de usuario.","1. Iniciar sesión como docente
2. Crear o editar un examen
3. Presionar ""Guardar borrador"" varias veces consecutivas
4. Observar el comportamiento del botón durante el guardado",Funcional,Safari 26.4 (21624.1.16.11.4),https://drive.google.com/file/d/1J-LJyyzvVlQHRq0Sn-gTpMe979whBOCI/view?usp=sharing,Nuevo,02/06/2026,,Version 1.4.0,
